Acceleration,Steering angle
0.085106,-0.0026409
0.084892,-0.0026538
0.084682,-0.0026871
0.08357,-0.0041648
0.084006,-0.0027176
0.09631,-0.013538
0.16718,-0.0019364
0.14161,-0.015012
0.27298,-0.0021871
0.10178,-0.030163
0.10723,-0.0046633
0.079421,-0.0027984
0.1344,-0.01074
0.077609,-0.0026271
0.077478,-0.0026457
0.076592,-0.0047608
0.076905,-0.0026827
0.085329,-0.011861
0.27616,7.7284e-05
0.092549,-0.03027
0.094162,-0.0045401
0.073865,-0.002844
0.13067,-0.011085
0.072128,-0.0027027
0.071852,-0.0026483
0.070997,-0.0054668
0.07101,-0.0026359
0.070153,-0.0043265
0.0706,-0.002693
0.067127,-0.0076172
0.21834,-0.0019497
0.08458,-0.029224
0.08167,-0.0044911
0.067137,-0.0032284
0.12635,-0.011435
0.066131,-0.0027832
0.065774,-0.0026527
0.063914,-0.0063665
0.099428,-0.0032679
0.06413,-0.0032172
0.12359,-0.0064643
0.062962,-0.0026152
0.063046,-0.0026713
0.12224,-0.0053627
0.061813,-0.0028344
0.061102,-0.0026339
0.060976,-0.0030501
0.12104,-0.005996
0.064372,-0.0043666
0.059711,-0.0029481
0.059129,-0.0028095
0.058286,-0.0036247
0.057724,-0.004813
0.05809,-0.0028341
0.056805,-0.0042732
0.057064,-0.0026549
0.055516,-0.0054368
0.11708,-0.0013914
0.11328,-0.0096885
0.055899,-0.0032268
0.055322,-0.0031513
0.054591,-0.0028046
0.11527,-0.0058077
0.11766,-0.0046174
0.13147,-0.0082656
0.065458,-0.0072389
0.10392,-0.0051105
0.11953,-0.0085143
0.061089,-0.0072726
0.12392,-0.0045385
0.10124,-0.0092515
0.1281,-0.0045272
0.089731,-0.0093202
0.10963,-0.0051857
0.056526,-0.0071562
0.1209,-0.0039536
0.072042,-0.010867
0.094401,-0.0050333
0.042183,-0.0048447
0.098508,-0.0042974
0.084693,-0.0095097
0.039224,-0.0027158
0.10394,-0.0030054
0.044121,-0.008253
-0.017318,-0.025054
-0.37283,-0.043006
-0.44025,-0.014131
-0.43875,0.0019334
-1.1069,-0.036498
-2.9825,0.0018136
-1.6056,-0.001607
-0.45067,0.0079955
